recording,timestamp,interrupter,interrupted,type,overlap_s,new_speaker_turn_s,new_speaker_continues_after_prior_s
Record-1,24:11.433,Zlatko,Pippi,competitive_overlap,1.147,2.042,0.895
Record-1,24:17.238,Zlatko,Pippi,competitive_overlap,2.734,2.734,0
Record-1,24:25.254,Zlatko,Pippi,competitive_overlap,2.244,2.244,0
Record-1,26:20.814,Zlatko,Pippi,competitive_overlap,2.986,2.986,0
Record-1,26:29.167,Pippi,Zlatko,competitive_overlap,1.89,1.89,0
Record-1,26:35.326,Pippi,Zlatko,competitive_overlap,1.671,3.122,1.451
Record-1,26:42.110,Zlatko,Pippi,competitive_overlap,1.805,7.745,5.94
Record-1,27:03.676,Pippi,Zlatko,successful_floor_take,0.354,2.363,2.009
Record-1,27:10.089,Zlatko,Pippi,competitive_overlap,3.881,12.909,9.028
Record-1,27:16.315,Pippi,Zlatko,competitive_overlap,2.16,2.16,0
Record-1,27:27.217,Pippi,Zlatko,competitive_overlap,1.772,8.285,6.513
Record-1,27:41.695,Pippi,Zlatko,competitive_overlap,1.131,1.131,0
Record-1,29:45.912,Zlatko,Pippi,successful_floor_take,0.456,5.198,4.742
Record-1,30:02.011,Zlatko,Pippi,successful_floor_take,0.675,10.479,9.804
Record-1,33:47.039,Zlatko,Pippi,successful_floor_take,0.996,4.016,3.02
Record-1,33:49.975,Pippi,Zlatko,competitive_overlap,1.08,1.384,0.304
Record-1,35:18.215,Zlatko,Pippi,competitive_overlap,2.227,7.104,4.877
Record-1,35:26.585,Zlatko,Pippi,competitive_overlap,1.35,14.917,13.567
Record-1,35:30.551,Pippi,Zlatko,competitive_overlap,6.091,6.091,0
Record-1,36:22.323,Zlatko,Pippi,competitive_overlap,5.046,6.615,1.569
Record-1,36:28.179,Pippi,Zlatko,successful_floor_take,0.759,3.273,2.514
Record-1,36:30.625,Zlatko,Pippi,successful_floor_take,0.827,3.274,2.447
Record-1,36:35.418,Zlatko,Pippi,successful_floor_take,0.321,1.603,1.282
Record-1,37:06.232,Zlatko,Pippi,successful_floor_take,0.911,1.805,0.894
Record-1,37:32.979,Zlatko,Pippi,competitive_overlap,2.379,2.379,0
Record-1,37:43.897,Zlatko,Pippi,competitive_overlap,3.324,3.324,0
Record-1,37:49.820,Pippi,Zlatko,competitive_overlap,2.362,2.362,0
Record-1,37:52.942,Pippi,Zlatko,competitive_overlap,1.012,1.012,0
Record-1,39:04.053,Zlatko,Pippi,competitive_overlap,2.261,4.742,2.481
Record-1,39:49.717,Zlatko,Pippi,competitive_overlap,2.261,2.261,0
Record-1,39:53.446,Zlatko,Pippi,successful_floor_take,0.371,2.514,2.143
Record-1,39:55.420,Pippi,Zlatko,successful_floor_take,0.54,6.717,6.177
Record-1,39:58.036,Zlatko,Pippi,competitive_overlap,1.316,1.316,0
Record-1,40:01.597,Zlatko,Pippi,successful_floor_take,0.54,5.434,4.894
Record-1,40:11.148,Zlatko,Pippi,successful_floor_take,0.354,6.784,6.43
Record-1,40:20.885,Zlatko,Pippi,competitive_overlap,1.367,6.092,4.725
Record-1,40:55.968,Pippi,Zlatko,competitive_overlap,1.789,1.789,0
Record-1,41:13.957,Zlatko,Pippi,competitive_overlap,1.198,2.514,1.316
Record-1,41:18.716,Zlatko,Pippi,successful_floor_take,0.253,2.345,2.092
Record-1,41:52.736,Zlatko,Pippi,competitive_overlap,2.278,2.278,0
Record-1,48:15.174,Pippi,Zlatko,competitive_overlap,4.691,4.691,0
Record-1,49:08.515,Pippi,Zlatko,successful_floor_take,0.574,2.599,2.025
Record-1,49:09.849,Zlatko,Pippi,competitive_overlap,1.265,16.79,15.525
