scope,speaker,talk_seconds,talk_minutes,attributed_share_pct,recording_occupancy_pct,turns,mean_turn_s,median_turn_s,longest_turn_s,scope_duration_s,any_speech_seconds,any_speech_occupancy_pct
record1_full,Pippi,1330.176,22.17,63.91,36.72,295,4.509,2.767,39.673,3622.034,1926.93,53.2
record1_full,Zlatko,751.052,12.518,36.09,20.74,203,3.7,2.363,28.266,3622.034,1926.93,53.2
record1_full,Uavklart,5.519,0.092,,0.15,4,1.38,0.819,3.595,3622.034,1926.93,53.2
record1_after_chris,Pippi,871.99,14.533,63.39,35.35,200,4.36,3.122,38.357,2467.034,1255.801,50.9
record1_after_chris,Zlatko,503.669,8.394,36.61,20.42,143,3.522,2.278,16.79,2467.034,1255.801,50.9
record1_after_chris,Uavklart,5.232,0.087,,0.21,3,1.744,0.995,3.595,2467.034,1255.801,50.9
record3_full,Pippi,608.148,10.136,84.58,43.49,153,3.975,2.683,25.65,1398.491,693.685,49.6
record3_full,Zlatko,110.9,1.848,15.42,7.93,48,2.31,1.055,12.234,1398.491,693.685,49.6
record3_full,Uavklart,0.0,0.0,,0.0,0,,,0.0,1398.491,693.685,49.6
primary_two_person,Pippi,1480.138,24.669,70.66,38.29,353,4.193,2.852,38.357,3865.526,1949.486,50.43
primary_two_person,Zlatko,614.569,10.243,29.34,15.9,191,3.218,2.042,16.79,3865.526,1949.486,50.43
primary_two_person,Uavklart,5.232,0.087,,0.14,3,1.744,0.995,3.595,3865.526,1949.486,50.43
all_model_labeled,Pippi,1938.324,32.305,69.22,38.61,448,4.327,2.759,39.673,5020.526,2620.615,52.2
all_model_labeled,Zlatko,861.952,14.366,30.78,17.17,251,3.434,2.193,28.266,5020.526,2620.615,52.2
all_model_labeled,Uavklart,5.519,0.092,,0.11,4,1.38,0.819,3.595,5020.526,2620.615,52.2
